EDAD,GENERO,AVG_DH,MINUTES_DH,EXPERIENCIA,exp_imp,r_exp_min,r_exp_edad,edad_imp,r_avg_min,RESIDENCIA_ARGENTINA,RESIDENCIA_BRAZIL,RESIDENCIA_MEXICO,NV_ESTUDIO_POST_GRADUATE,NV_ESTUDIO_TERTIARY,NV_ESTUDIO_UNIVERSITARY,ESTUDIO_PREV_BUSINESS,ESTUDIO_PREV_COMMERCIAL,ESTUDIO_PREV_DEVELOPMENT,ESTUDIO_PREV_ENGINEERING,ESTUDIO_PREV_MARKETING,TRACK_DH_DATA,TRACK_DH_EJECUTIVO,TRACK_DH_MARKETING,TRACK_DH_PROGRAMACION,cat_edad_joven,cat_edad_adulto,cat_edad_adulto2,cat_edad_mayor,cat_edad_mayor2,cat_edad_old,cat_exp_novel,cat_exp_entry,cat_exp_exp,cat_exp_exp2,cat_exp_mayor,cat_exp_senior,target
0.7567567567567568,1,0.6071428571428571,0.5577753451316669,0.8776231111577877,0.7570303389635452,0.3185209571551423,0.92709550599915,0.6883116883116883,0.10406905021596335,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,91.21107026340434
0.7297297297297296,0,0.4999999999999999,0.5727209146749377,0.8025078369905958,0.6375862805094998,0.2851099730689776,0.8679303436584991,0.5914994096812278,0.05596085734838652,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,100.71377005715492
0.5405405405405406,0,0.6785714285714285,0.5786504895700297,0.5956112852664578,0.5408097915035935,0.20984739131413213,0.7730004623208506,0.5501770956316411,0.11475238041799846,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,98.27696443015053
0.5405405405405406,0,0.7142857142857141,0.5912698412698413,0.5768025078369906,0.5368248772504091,0.1996905758306396,0.7485899214054553,0.5708382526564344,0.11834727852834726,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,100.21017423254794
0.5675675675675675,1,0.6785714285714285,0.5827707839202092,0.5987460815047023,0.5436561588272967,0.20974125576000502,0.7554836389787846,0.5737898465171192,0.1118851621528496,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,87.14693941769235
0.2972972972972973,1,0.5714285714285715,0.5697992235027195,0.08463949843260189,0.07108802390948554,0.030194809106654646,0.14787154592979837,0.29161747343565525,0.08308269626891202,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,83.80342044904519
0.13513513513513514,1,0.5357142857142857,0.5699542744588445,0.015673981191222573,0.012808652956664059,0.005590401831778486,0.03559870550161812,0.14876033057851235,0.07033511504403295,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,82.69417361135481
0.5945945945945945,0,0.4285714285714285,0.5260141093474426,0.6739811912225706,0.5048744040418417,0.2563616880046161,0.8274293711186914,0.44451003541912626,0.06013012663414102,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,101.8068583740169
0.5945945945945945,0,0.3928571428571429,0.5289180806422187,0.6771159874608151,0.4918522735358999,0.25642788432257363,0.8312778798215692,0.42266824085005905,0.044758300781250704,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,99.72059497714037
0.6988043330874487,1,0.5714285714285715,0.5811743599099921,0.8150470219435738,0.6845513413506014,0.28614790485869673,0.9061795308144354,0.6160939386049099,0.07565222885274026,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,90.02079075491207
0.48648648648648646,0,0.3571428571428571,0.4898378593153182,0.4514106583072101,0.31765459332526863,0.18164045513199695,0.6213592233009709,0.32762691853600934,0.05735500248065145,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,95.46514410332469
0.5405405405405406,0,0.6785714285714285,0.5881378094021773,0.5799373040752351,0.526577954885078,0.2016451929147723,0.7526583448913546,0.5501770956316411,0.10819935727783747,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,98.26786551934667
0.5135135135135136,0,0.3214285714285713,0.452913751425182,0.4952978056426333,0.33729452785882025,0.2118125803599011,0.661717114030078,0.32585596221959856,0.06995835035801734,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,98.85198783242166
0.5405405405405406,1,0.5700888491761601,0.5740132579213039,0.5642633228840126,0.4734396783496654,0.2001026578181937,0.7323162274618584,0.4874185786261138,0.07983059449617552,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,88.99052798777234
0.5405405405405406,0,0.3571428571428571,0.47996107766222706,0.5599281959871213,0.3940176425045643,0.2289235534887172,0.7266899823278071,0.36422668240850054,0.06445513973458905,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,99.40387494937146
0.6216216216216217,1,0.3571428571428571,0.4832603539500091,0.7335423197492164,0.5161887141535615,0.2983048646201599,0.8768523249872252,0.4191263282172373,0.06205815997940506,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,89.27200857265575
0.5135135135135136,0,0.7499999999999999,0.6041932737335036,0.4858934169278997,0.46324628193268347,0.16527746308820654,0.6491528650295069,0.5667060212514758,0.12161103979577037,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,96.75848997536079
0.5216216216216216,1,0.4285714285714285,0.5398073414104776,0.5191222570532915,0.38887070376432076,0.19342327778981128,0.6874805400662345,0.3919126328217236,0.05103696100226707,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,91.2691958021905
0.4324324324324325,0,0.4999999999999999,0.5601775831660889,0.32915360501567403,0.2615099978652245,0.11904898432836467,0.48230504227998744,0.36422668240850054,0.06391259117368064,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,97.7347048443724
0.5405405405405406,0,0.4285714285714285,0.5498996533479292,0.5485893416927901,0.41094428235963854,0.20139157276530384,0.7119741100323624,0.4055489964580873,0.04461558195730375,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,95.44154840157486
0.6756756756756757,0,0.5714285714285715,0.5707900018244846,0.8119122257053292,0.6819184515761759,0.2892400210478839,0.9220064724919093,0.5974025974025974,0.08242598054568884,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,103.01478623357374
0.7242026253117226,1,0.3571428571428571,0.4807212795718543,0.8338557993730409,0.5867786237813991,0.3404965713947714,0.9062464918167731,0.48858347770516286,0.06390056348715595,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,92.90424979208024
